,station_id,short_name,lat,lon,capacity,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_updated,temp_c,wind_kph,humidity,clouds
125,131,007,19.425355,-99.17515,23,3,1,19,0,2024-08-24 15:44:26,24.9,6.17,41,40
126,132,254,19.439347,-99.160074,31,6,2,23,0,2024-08-24 15:44:26,24.95,6.17,41,40
127,133,115,19.429947,-99.159698,27,15,0,12,0,2024-08-24 15:44:26,24.95,6.17,41,40
128,134,273-274,19.442707,-99.152956,70,25,1,44,0,2024-08-24 15:44:26,24.96,6.17,41,40
129,135,035,19.424558,-99.163518,41,34,1,6,0,2024-08-24 15:44:26,24.95,6.17,41,40
130,136,012,19.432223,-99.161686,15,8,0,7,0,2024-08-24 15:44:26,24.95,6.17,41,40
131,137,006,19.430963,-99.166986,15,3,0,12,0,2024-08-24 15:44:26,24.9,6.17,41,40
132,138,132,19.420667,-99.15645,23,21,1,1,0,2024-08-24 15:44:26,24.95,6.17,41,40
133,139,144,19.415192,-99.154837,27,2,0,25,0,2024-08-24 15:44:26,24.96,6.17,41,40
134,140,147,19.412182,-99.158443,27,8,1,18,0,2024-08-24 15:44:26,24.97,6.17,41,40
135,141,271-272,19.443684,-99.152465,74,22,4,48,0,2024-08-24 15:44:26,24.96,6.17,41,40
136,142,002,19.430495377066244,-99.17115971451493,23,0,1,22,0,2024-08-24 15:44:26,24.9,6.17,41,40
137,143,137,19.418774,-99.157081,27,23,2,2,0,2024-08-24 15:44:26,24.95,6.17,41,40
138,144,139,19.416128,-99.162097,23,22,1,0,0,2024-08-24 15:44:26,24.95,6.17,41,40
139,145,190,19.409577,-99.183818,31,10,1,20,0,2024-08-24 15:44:26,24.9,6.17,41,40
140,146,185,19.412776,-99.182805,29,0,3,26,0,2024-08-24 15:44:26,24.9,6.17,41,40
141,147,228,19.427705,-99.19912,19,2,0,16,1,2024-08-24 15:44:26,24.73,6.17,41,40
